Party,Anonymized Text
Agent,"Hi thanks for contacting <unk> support this is <unk>, how are you having a great day so far how can I help you."
Customer,Well I'm having a hard time.
Customer,"I can't seem to login to my [PRODUCT], um, on my TV the payment was just taken out of out and uh, maybe I've forgotten my password."
Agent,Okay.
Agent,<unk>.
Customer,I'm not sure can you help me with this.
Agent,Okay I understand absolutely who first of all who do I have the pleasure to talk with.
Customer,[NAME].
Agent,Okay [NAME] and thanks for contacting us I'm truly sorry to hear that you're experiencing issues with your logging however don't worry okay you can talk to the right person and I will do my best to assist you today.
Customer,Okay.
Agent,Before we begin [NAME] may I have the email of your account please.
Customer,Okay it's [EMAIL].
Agent,[NUMBER].
Agent,[EMAIL].
Agent,Okay so lemme just confirm it to you so it's [EMAIL] right.
Customer,Yes that that's an [ALPHA] at that after that [ALPHA].
Customer,[ALPHA] as in.
Agent,"[ALPHA], right okay perfect."
Customer,[ALPHA].
Customer,Yes <unk>.
Agent,[NAME] lemme one second let me just pull up your account here in my hand.
Agent,Okay for some reason it seems that the email where the email that we were using has no active subscription or even doesn't have an account maybe if you remember if you use a different email.
Customer,Okay let's see um well it could have been the old one how about um well [ALPHA].
Agent,Okay.
Agent,<unk>.
Customer,[EMAIL].
Agent,[EMAIL].
Customer,[laughter].
Agent,Okay [NAME] thank you very much for that information may you please allow me three minutes on hold I'll try to research deeper with both of the emails that you provided me and I'll be right back with you okay.
Customer,Okay thank you.
Agent,You're welcome <unk>.
Agent,Okay [NAME] thank you very much for holding on the line I'm back.
Customer,Okay good thank you.
Agent,[NAME] you're welcome it's my pleasure [NAME] before proceeding with something I would need to ask you one verification question is that okay for you.
Customer,Yes.
Agent,Okay perfect may I know how you pay for the subscription please.
Customer,I just paid for it through my bank account um as well.
Agent,<unk>.
Agent,Does it means that you got a a debit or credit card.
Customer,Yes it came out of my bank statement um yep on my.
Agent,Perfect okay understand may I know the four last digits of this card please.
Customer,It's the [NUMBER].
Agent,[NUMBER] and do you know the type of this card.
Customer,It's a [ORG].
Agent,A [ORG] card okay let me just one second let me just type it here # # # # a [ORG] card okay [NAME] thank you very much and just verified your account successfully now I'm able to make changes on your account then [NAME] what do you think if we a first start activating your TV here from my end and then we take care of your password is that a plan for you.
Customer,Okay yes.
Agent,Perfect in that lights <unk> may you please go to your [PRODUCT] on your TV please perfect then can you please select the option that says log in please.
Customer,I'm on I'm on here.
Customer,Okay.
Agent,And then it will appear in option that says activate on the computer right.
Customer,Yeah.
Agent,Perfect please select it and then let me know the seven digits code please.
Customer,Okay it's [ALPHA].
Customer,[ALPHA].
Agent,"Okay let me just confirm it to you [ALPHA], right."
Customer,Yes.
Agent,Okay.
Agent,Hold me one second.
Agent,Let may you please let me know if something happened.
Agent,Or not.
Customer,Um.
Customer,Nothing yet.
Agent,Okay hold one second.
Agent,Perfect please keep that screen don't go back on your on your TV I'll try something else here from my end and while that happens may you please a check your email box to check if your reset password email is now on your on your email box please.
Customer,Okay yeah lemme see email yeah.
Customer,A email to.
Customer,Oh.
Customer,Um.
Customer,<unk>.
Agent,Mhm.
Customer,[laughter].
Customer,Um okay yeah there's something here.
Customer,What is it what it with this [ALPHA]?
Customer,Dot com is that you all.
Customer,Hello.
Customer,Hello.
Agent,Hello I can hear you sorry I wasn't made sorry for that reason I'm back I heard you well it seems that it shouldn't be the email because sometimes the email comes from [ORG] or yeah I think that that's the main.
Agent,But let me try to send you again.
Customer,Oh.
Agent,[NAME] so it is going to the email that you provide me the second email right <unk> # #.
Customer,# # # # # #.
Agent,Correct.
Customer,Mhm.
