Party,Anonymized Text
Customer,[laughter].
Agent,Hello good day thank you for calling who you're speaking to [NAME] and to whom do I have the pleasure of assisting today.
Customer,"Uh, yes my name's a [NAME] but I'm actually calling on behalf of my a girlfriend uh she asked me to talk to you guys."
Agent,Okay uh what's your what's your what's your full name.
Customer,Uh my full name is [NAME] last name is <unk> [ALPHA].
Agent,Oh I was asking for your girlfriend's name her last year.
Customer,Oh I'm sorry.
Customer,It's [NAME].
Agent,Yeah.
Agent,Yeah.
Customer,[ALPHA].
Agent,[ALPHA] an all right and uh there's her name.
Customer,And then [NAME] [ALPHA].
Customer,[ALPHA].
Agent,[ALPHA].
Agent,[ALPHA] [NAME] alright thank you very much and um.
Agent,Do can you tell me what's the issue today.
Customer,Oh she has a a.
Customer,The charge on her account for [CURRENCY] and every time that she calls and like talk to someone it says that she has two accounts and I was just trying to call to see if she does have two accounts she can get one of them taken off that way it doesn't keep talking to the smoke for thirty 'cause we she does have an account that's active that's supposed to be active but it's not active that one.
Agent,Yeah.
Agent,[laughter] yeah [laughter].
Agent,Huh how okay but she's been additional charge her on er on what is the charging her on.
Customer,And uh.
Customer,It says for.
Agent,No what what what is the charging her on is that um she see the payment she see the money coming out of what.
Customer,Her bank account.
Agent,Okay.
Agent,Alright so can you may I have the email address that that is associated with the account please.
Customer,Yes <unk>.
Customer,[ALPHA].
Customer,[ALPHA].
Agent,[ALPHA].
Agent,Yeah.
Customer,<unk> [ALPHA].
Customer,[EMAIL].
Agent,Yeah.
Agent,Huh alright let's gonna pull up back on to see.
Agent,Pull up the account to see what's going on okay.
Customer,Yes sir.
Customer,<unk>.
Customer,<unk>.
Customer,[laughter].
Agent,Is [EMAIL].
Customer,Yes sir.
Agent,Alrighty and this is a [ORG] or a [PRODUCT] account.
Customer,It's.
Customer,Enter bundle.
Agent,She did it over by the [ORG] side just to check.
Customer,No she did through [PRODUCT].
Agent,All right just second.
Agent,[laughter].
Agent,Mhm.
Customer,[laughter].
Agent,Alright so I'm not seeing an active account for this email right so.
Customer,[laughter].
Customer,Then oh minute.
Agent,I'm figuring that this is not that the one that's charging.
Customer,This is a new car yeah this is this is a new card and everything so uh that's the reason why we're not we're trying to figure it out like it has.
Agent,Yeah.
Agent,Yeah oh so it's charging the card it say I thought I thought you said it went to your bank account alright so the card that huh yeah can you give me the last I'm gonna do a general search like a detail search for you to see if I can find anything that that pops up.
Customer,And then <unk> card.
Agent,Alright.
Customer,Yes sir.
Agent,May I have the last four digits for the card please.
Customer,It's a # # # #.
Agent,Okay.
Agent,Alright and.
Customer,<unk>.
Agent,Also.
Customer,[laughter].
Agent,Can I.
Agent,I wanna use her and.
Agent,Date of birth can I get the date of birth please.
Customer,It's # # # # #.
Agent,[laughter].
Agent,[laughter] all right let's see let's see what's what's comes up alright.
Customer,Yeah.
Customer,<unk>.
Agent,Right.
Agent,[laughter] all rights something it's coming up.
Customer,Okay.
Agent,Huh.
Customer,<unk>.
Agent,All right so it does.
Customer,Yeah.
Agent,This [NAME] have any other emails because sometime how much is the amount that she's coming out just wanna verify.
Customer,It was like.
Customer,Was what.
Customer,[NUMBER].
Agent,[NUMBER] her to check that.
Customer,Yes it is.
Agent,That's her check the information right.
Customer,<unk>.
Agent,Just to verify that on.
Customer,Well.
Customer,What was that I'm sorry?
Agent,I'm just asking you if you could ask her to verify the account just verified.
Customer,Yep give me one second.
Customer,Verify that us what how much was yeah # # # # # I'm sorry.
Agent,Okay.
Agent,All right so.
Agent,Another thing that I'm gonna ask to verify what I'm seeing um can you tell me the type of card.
Customer,It is a [ORG].
Agent,All right.
Agent,So you basically confirm what I'm seeing there is a another subscription here um.
Customer,Yeah.
Agent,And it I did the amount that.
Customer,<unk>.
Agent,What was the date that you were charged?
Customer,It came out today.
Agent,All right so.
Agent,There is a subscription here so um.
Agent,What do you want me to do in this in in disregard?
Customer,Do you want do you want to cancel it or do you want in that okay do me out before you start freaking out do you want him to activate the account or do you want him.
Agent,Are these does she have another email.
Customer,It's if you are you talking about activating a like the the account with her email.
Agent,Mhm.
Agent,All right um well she she she can't tell me she don't remember email right or she don't know the email.
Customer,She don't she's never using other email she's the email she's used since her son was born.
Agent,But.
Agent,Mama to marry yeah I understand is there any other email that she has.
